Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tools.descartes.teastore.webui/,2382,651,230.0,465.3415635436611,24.92487500000351,2097.2165419999983,6513.353904282116,39.22502489492132,10.720189423423081,230,450,650,920,1300,1400,1600,1800,2100,2100,2100
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=10,9,0,580.0,604.1193980000005,117.37495800000275,1341.0157080000004,29550.222222222223,0.14820538373395964,0.0,580,660,770,1200,1300,1300,1300,1300,1300,1300,1300
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=100,4,1,260.0,1428.3011352499998,212.6990830000004,3224.9855000000025,22974.5,0.0658690594373154,0.01646726485932885,2000,2000,3200,3200,3200,3200,3200,3200,3200,3200,3200
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=101,6,1,1000.0,1657.6497985000024,148.5710840000003,3448.970000000003,24973.0,0.09880358915597309,0.01646726485932885,2200,2200,2200,2200,3400,3400,3400,3400,3400,3400,3400
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=102,7,0,520.0,811.7684464285707,117.77641699999464,2576.493417000002,29847.714285714286,0.11527085401530195,0.0,520,670,1100,1100,2600,2600,2600,2600,2600,2600,2600
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=103,7,0,1200.0,1412.4798809999998,1049.320667,2854.0212499999952,30118.714285714286,0.11527085401530195,0.0,1200,1200,1300,1300,2900,2900,2900,2900,2900,2900,2900
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=104,6,0,940.0,869.4672916666667,156.4406250000019,1497.955833999999,30086.5,0.09880358915597309,0.0,1000,1000,1400,1400,1500,1500,1500,1500,1500,1500,1500
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=105,7,0,870.0,740.6411907142848,174.14645899999925,1352.6487500000003,29046.714285714286,0.11527085401530195,0.0,870,950,1200,1200,1400,1400,1400,1400,1400,1400,1400
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=106,8,1,920.0,1070.0184217500002,182.8495419999996,3701.543000000001,25059.25,0.1317381188746308,0.01646726485932885,950,1000,1000,1000,3700,3700,3700,3700,3700,3700,3700
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=107,9,0,870.0,988.1658936666668,146.93241700000215,2603.8693329999987,29618.777777777777,0.14820538373395964,0.0,870,1000,1100,1500,2600,2600,2600,2600,2600,2600,2600
